0.2646695486	0.7353304514
0.4197931663	0.5802068337
0.4712556949	0.5287443051
0.4949989997	0.5050010003
0.5075848283	0.4924151717
0.5147485175	0.4852514825
0.5189919473	0.4810080527
0.6417394212	0.3582605788
0.6856949061	0.3143050939
0.6976085135	0.3023914865
0.7005789512	0.2994210488
0.7013038400	0.2986961600
0.7014798057	0.2985201943
0.7015224663	0.2984775337
0.7015328055	0.2984671945
0.7015353112	0.2984646888
0.7015359184	0.2984640816
0.7015360655	0.2984639345
0.7015361012	0.2984638988
0.7015361098	0.2984638902
0.7015361082	0.2984638918
0.7015361056	0.2984638944
0.7015361015	0.2984638985
0.7015360950	0.2984639050
0.7015360846	0.2984639154
0.7015360681	0.2984639319
0.7015360419	0.2984639581
0.2648318089	0.7351681911
0.4228286268	0.5771713732
0.4740691307	0.5259308693
0.4972984504	0.5027015496
0.5093892255	0.4906107745
0.5161354903	0.4838645097
0.5200462315	0.4799537685
0.6476894070	0.3523105930
0.6934396750	0.3065603250
0.7057373483	0.2942626517
0.7087710716	0.2912289284
0.7095032748	0.2904967252
0.7096790575	0.2903209425
0.7097212043	0.2902787957
0.7097313066	0.2902686934
0.7097337278	0.2902662722
0.7097343081	0.2902656919
0.7097344472	0.2902655528
0.7097344805	0.2902655195
0.7097344885	0.2902655115
